Author	n (strains)	publication title	journal	publication URL	strains
Jing Zhang et al A	2	First 12 patients with coronavirus disease 2019 (COVID-19) in the United States	unknown	https://dx.doi.org/10.1101/2020.03.09.20032896	USA/WI1/2020,USA/CA-CDC-6/2020
Caly L. et al A	18	Tracking the COVID-19 pandemic in Australia using genomics	unknown	https://dx.doi.org/10.1101/2020.05.12.20099929	Australia/VIC14/2020,Australia/VIC07/2020,Australia/VIC02/2020,Australia/VIC03/2020,Australia/VIC152/2020,Australia/VIC70/2020,Australia/VIC179/2020,Australia/VIC661/2020,Australia/VIC1059/2020,Australia/VIC44/2020,Australia/VIC62/2020,Australia/VIC54/2020,Australia/VIC192/2020,Australia/VIC652/2020,Australia/VIC843/2020,Australia/VIC853/2020,Australia/VIC860/2020,Australia/VIC884/2020
Ahmad Abou Tayoun et al A	11	Genomic surveillance and phylogenetic analysis reveal multiple introductions of SARS-CoV-2 into a global travel hub in the Middle East	unknown	https://dx.doi.org/10.1101/2020.05.06.080606	UnitedArabEmirates/L4280/2020,UnitedArabEmirates/L5630/2020,UnitedArabEmirates/L4184/2020,UnitedArabEmirates/L9766/2020,UnitedArabEmirates/L1014/2020,UnitedArabEmirates/L2409/2020,UnitedArabEmirates/L7356/2020,UnitedArabEmirates/L1076/2020,UnitedArabEmirates/L5621/2020,UnitedArabEmirates/L0879/2020,UnitedArabEmirates/L0881/2020
Tsuyoshi Sekizuka et al B	114	unknown	unknown	unknown	Japan/KY-V-029/2020,Japan/TY-WK-521/2020,Japan/TY-WK-501/2020,Japan/AI-I-004/2020,Japan/PG-1978/2020,Japan/IC-0007/2020,Japan/NA-20-05-1/2020,Japan/IC-0061/2020,Japan/IC-0199/2020,Japan/IC-0096/2020,Japan/PG-10502/2020,Japan/IC-0011/2020,Japan/IC-0198/2020,Japan/IC-0613/2020,Japan/PG-1385/2020,Japan/PG-2903/2020,Japan/PG-2906/2020,Japan/PG-2426/2020,Japan/PG-2848/2020,Japan/IC-0514/2020,Japan/IC-0720/2021,Japan/PG-2574/2020,Japan/IC-0839/2021,Japan/IC-0792/2021,Japan/IC-0421/2020,Japan/IC-0422/2020,Japan/IC-0423/2020,Japan/IC-0449/2020,Japan/IC-0798/2021,Japan/IC-0793/2021,Japan/IC-0819/2021,Japan/IC-0498/2020,Japan/IC-0424/2020,Japan/PG-16445/2021,Japan/PG-16448/2021,Japan/PG-16446/2021,Japan/PG-17188/2021,Japan/PG-17961/2021,Japan/IC-0836/2021,Japan/IC-0505/2020,Japan/IC-0478/2020,Japan/IC-0818/2021,Japan/IC-0816/2021,Japan/IC-0810/2021,Japan/IC-0840/2021,Japan/IC-0801/2021,Japan/PG-20144/2021,Japan/IC-0094/2020,Japan/PG-2140/2020,Japan/PG-2036/2020,Japan/PG-2038/2020,Japan/PG-1917/2020,Japan/IC-0126/2020,Japan/IC-0125/2020,Japan/IC-0543/2020,Japan/PG-6061/2020,Japan/PG-11150/2020,Japan/PG-10046/2020,Japan/PG-8641/2020,Japan/PG-5911/2020,Japan/PG-8675/2020,Japan/PG-10970/2020,Japan/PG-8456/2020,Japan/PG-8458/2020,Japan/PG-11325/2020,Japan/PG-18847/2020,Japan/PG-18848/2020,Japan/PG-11920/2020,Japan/PG-11954/2020,Japan/PG-11921/2020,Japan/PG-2555/2020,Japan/PG-2556/2020,Japan/PG-2566/2020,Japan/PG-2564/2020,Japan/PG-1791/2020,Japan/PG-1794/2020,Japan/PG-1799/2020,Japan/IC-0122/2020,Japan/IC-0128/2020,Japan/IC-0127/2020,Japan/IC-0129/2020,Japan/PG-4373/2020,Japan/PG-8938/2020,Japan/PG-11617/2020,Japan/PG-9119/2020,Japan/PG-11463/2020,Japan/PG-11084/2020,Japan/PG-20210/2021,Japan/PG-11157/2020,Japan/PG-20009/2020,Japan/PG-20010/2020,Japan/IC-0236/2020,Japan/IC-0560/2021,Japan/IC-0540/2020,Japan/IC-0016/2020,Japan/IC-0546/2020,Japan/IC-0116/2020,Japan/IC-0574/2020,Japan/IC-0177/2020,Japan/IC-0683/2021,Japan/IC-0225/2020,Japan/IC-0150/2020,Japan/IC-0073/2020,Japan/IC-0217/2020,Japan/IC-0216/2020,Japan/IC-0081/2020,Japan/IC-0014/2020,Japan/IC-0835/2021,Japan/IC-0260/2020,Japan/PG-2546/2020,Japan/IC-0385/2020,Japan/PG-2527/2020,Japan/IC-0060/2020,Japan/PG-3149/2020
Amirtharaj Francis et al	21	unknown	unknown	unknown	UnitedArabEmirates/skmc-0381517/2020,UnitedArabEmirates/skmc-004/2020,UnitedArabEmirates/skmc-008/2020,UnitedArabEmirates/skmc-007/2020,UnitedArabEmirates/skmc-009/2020,UnitedArabEmirates/skmc-001/2020,UnitedArabEmirates/skmc-0532497/2020,UnitedArabEmirates/skmc-205223/2020,UnitedArabEmirates/skmc-920168117/2020,UnitedArabEmirates/skmc-920569110/2020,UnitedArabEmirates/skmc-920568379/2020,UnitedArabEmirates/skmc-3819699/2020,UnitedArabEmirates/skmc-3819883/2020,UnitedArabEmirates/skmc-01319674/2020,UnitedArabEmirates/skmc-3780553/2020,UnitedArabEmirates/skmc-205223c/2020,UnitedArabEmirates/skmc-227217/2020,UnitedArabEmirates/skmc-3891025/2020,UnitedArabEmirates/skmc-3115511/2020,UnitedArabEmirates/skmc-3627476/2020,UnitedArabEmirates/skmc-3595813/2020
Bixing Huang et al	2	unknown	unknown	unknown	Australia/QLDID922/2020,Australia/QLDID923/2020
Lukas Zemaitis et al	62	unknown	unknown	unknown	Lithuania/KU-LUHS-Eilnr10/2020,Lithuania/MR-LUHS-Eilnr12/2020,Lithuania/MR-LUHS-Eilnr33/2020,Lithuania/MR-LUHS-Eilnr40/2020,Lithuania/MR-LUHS-Eilnr43/2020,Lithuania/MR-LUHS-Eilnr32/2020,Lithuania/MR-LUHS-Eilnr31/2020,Lithuania/MR-LUHS-Eilnr46/2020,Lithuania/MR-LUHS-Eilnr50/2020,Lithuania/MR-LUHS-Eilnr45/2020,Lithuania/MR-LUHS-Eilnr51/2020,Lithuania/KU-LUHS-Eilnr61/2020,Lithuania/MR-LUHS-Eilnr73/2020,Lithuania/MR-LUHS-Eilnr75/2020,Lithuania/MR-LUHS-Eilnr65/2020,Lithuania/MR-LUHS-Eilnr67/2020,Lithuania/MR-LUHS-Eilnr92/2020,Lithuania/MR-LUHS-Eilnr91/2020,Lithuania/KL-LUHS-Eilnr59/2020,Lithuania/KL-LUHS-Eilnr58/2020,Lithuania/MR-LUHS-Eilnr174/2020,Lithuania/MR-LUHS-Eilnr469/2020,Lithuania/MR-LUHS-Eilnr459/2020,Lithuania/MR-LUHS-Eilnr474/2020,Lithuania/MR-LUHS-Eilnr449/2020,Lithuania/MR-LUHS-Eilnr452/2020,Lithuania/MR-LUHS-Eilnr456/2020,Lithuania/MR-LUHS-Eilnr462/2020,Lithuania/MR-LUHS-Eilnr426/2020,Lithuania/MR-LUHS-Eilnr461/2020,Lithuania/MR-LUHS-Eilnr422/2020,Lithuania/MR-LUHS-Eilnr427/2020,Lithuania/MR-LUHS-Eilnr431/2020,Lithuania/MR-LUHS-Eilnr248/2020,Lithuania/MR-LUHS-Eilnr262/2020,Lithuania/MR-LUHS-Eilnr214/2020,Lithuania/MR-LUHS-Eilnr269/2020,Lithuania/MR-LUHS-Eilnr455/2020,Lithuania/MR-LUHS-Eilnr285/2020,Lithuania/MR-LUHS-Eilnr319/2020,Lithuania/MR-LUHS-Eilnr381/2020,Lithuania/MR-LUHS-Eilnr339/2020,Lithuania/MR-LUHS-Eilnr407/2020,Lithuania/MR-LUHS-Eilnr442/2020,Lithuania/MR-LUHS-Eilnr401/2020,Lithuania/MR-LUHS-Eilnr403/2020,Lithuania/MR-LUHS-Eilnr405/2020,Lithuania/MR-LUHS-Eilnr203/2020,Lithuania/MR-LUHS-Eilnr201/2020,Lithuania/MR-LUHS-Eilnr216/2020,Lithuania/MR-LUHS-Eilnr230/2020,Lithuania/MR-LUHS-Eilnr236/2020,Lithuania/MR-LUHS-Eilnr227/2020,Lithuania/MR-LUHS-Eilnr228/2020,Lithuania/MR-LUHS-Eilnr247/2020,Lithuania/MR-LUHS-Eilnr249/2020,Lithuania/MR-LUHS-Eilnr258/2020,Lithuania/MR-LUHS-Eilnr414/2020,Lithuania/MR-LUHS-Eilnr172/2020,Lithuania/MR-LUHS-Eilnr173/2020,Lithuania/MR-LUHS-Eilnr189/2020,Lithuania/MR-LUHS-Eilnr192/2020
Shari Tyson et al	1	unknown	unknown	unknown	Canada/ON_VIDO-01/2020
Amrit S. Boese et al	1	unknown	unknown	unknown	Canada/ON_ON-VIDO-01-2/2020
Krista Queen et al A	2	First 12 patients with coronavirus disease 2019 (COVID-19) in the United States	unknown	https://dx.doi.org/10.1101/2020.03.09.20032896	USA/CA-CDC-4/2020,USA/CA-CDC-3/2020
Chen YYC et al	23	unknown	unknown	unknown	Singapore/470/2020,Singapore/469/2020,Singapore/36nan/2020,Singapore/17nan/2020,Singapore/1135/2020,Singapore/1172/2020,Singapore/1173/2020,Singapore/1165/2020,Singapore/34nan/2020,Singapore/1154/2020,Singapore/28nan/2020,Singapore/159nan/2020,Singapore/1149/2020,Singapore/1208/2020,Singapore/1260/2020,Singapore/1301/2020,Singapore/1249/2020,Singapore/1264/2020,Singapore/1274/2020,Singapore/1269/2020,Singapore/1338/2020,Singapore/1385/2020,Singapore/268nan/2020
Iglesias-Caballero et al A	46	unknown	unknown	unknown	Spain/AN-ISCIII-2013382/2020,Spain/RI-ISCIII-201277/2020,Spain/PV-ISCIII-201388/2020,Spain/MD-ISCIII-201091/2020,Spain/AN-ISCIII-2013676/2020,Spain/AN-ISCIII-2013675/2020,Spain/EX-ISCIII-201247/2020,Spain/EX-ISCIII-201258/2020,Spain/EX-ISCIII-201259/2020,Spain/CT-ISCIII-202045/2020,Spain/GA-ISCIII-2017305/2020,Spain/CE-ISCIII-2016518/2020,Spain/MD-ISCIII-2014656/2020,Spain/EX-ISCIII-201239/2020,Spain/CT-ISCIII-202043/2020,Andorra/202552/2020,Spain/CE-ISCIII-2016504/2020,Spain/CE-ISCIII-2016513/2020,Spain/CE-ISCIII-2016496/2020,Spain/MD-ISCIII-2014599/2020,Spain/CL-ISCIII-2016156/2020,Spain/CT-ISCIII-2017687/2020,Spain/ML-ISCIII-202058868/2020,Spain/ML-ISCIII-202059913/2020,Spain/ML-ISCIII-202059249/2020,Spain/ML-ISCIII-202058922/2020,Spain/ML-ISCIII-202059850/2020,Spain/ML-ISCIII-2013688/2020,Spain/ML-ISCIII-2013739/2020,Spain/ML-ISCIII-2013743/2020,Spain/ML-ISCIII-2013742/2020,Spain/ML-ISCIII-2013738/2020,Spain/ML-ISCIII-2013740/2020,Spain/ML-ISCIII-2013689/2020,Spain/ML-ISCIII-202059812/2020,Spain/ML-ISCIII-202059611/2020,Spain/ML-ISCIII-202059626/2020,Spain/ML-ISCIII-202059509/2020,Spain/ML-ISCIII-202060052/2020,Spain/ML-ISCIII-202058908/2020,Spain/GA-ISCIII-210198/2021,Spain/MD-ISCIII-2014623/2020,Spain/CE-ISCIII-203367/2020,Spain/CE-ISCIII-205119/2020,Spain/CT-ISCIII-2013592/2020,Spain/CT-ISCIII-2013593/2020
Mohd Noor Mat Isa et al	27	unknown	unknown	unknown	Malaysia/MKAK-CL-2020-5096/2020,Malaysia/IMR_WC119/2020,Malaysia/MKAK-CL-2020-6430/2020,Malaysia/MKAK-CL-2020-5045/2020,Malaysia/MKAK-CL-2020-5047/2020,Malaysia/MKAK-CL-2020-5049/2020,Malaysia/MKAK-CL-2020-7554/2020,Malaysia/IMR_WC413/2020,Malaysia/IMR_WC458/2020,Malaysia/IMR_WC1114/2020,Malaysia/MGI-MAEPS126/2020,Malaysia/MGI-MAEPS41/2020,Malaysia/MGI-MAEPS67/2020,Malaysia/MGI-MAEPS54/2020,Malaysia/HPUPM_ML5556/2020,Malaysia/MGI-DNALAB13/2020,Malaysia/HPUPM_ML6117/2020,Malaysia/MGI-MGI43/2021,Malaysia/HPUPM_ML6794/2020,Malaysia/MGI_M0684/2020,Malaysia/HPUPM_ML6471/2020,Malaysia/HPUPM_ML6472/2020,Malaysia/HPUPM_ML5369/2020,Malaysia/HPUPM_ML5366/2020,Malaysia/HPUPM_ML5767/2020,Malaysia/HPUPM_ML5771/2020,Malaysia/HPUPM_ML5726/2020
Jeong-Min Kim et al A	38	unknown	unknown	unknown	SouthKorea/KCDC2061/2020,SouthKorea/KCDC2002/2020,SouthKorea/KCDC07/2020,SouthKorea/KCDC2062/2020,SouthKorea/KCDC06/2020,SouthKorea/KCDC2291/2020,SouthKorea/KCDC2300/2020,SouthKorea/KCDC2001/2020,SouthKorea/KCDC12/2020,SouthKorea/KCDC2007/2020,SouthKorea/KCDC2005/2020,SouthKorea/KCDC2004/2020,SouthKorea/KCDC2036/2020,SouthKorea/KCDC2037/2020,SouthKorea/KCDC2193/2020,SouthKorea/KCDC2043/2020,SouthKorea/KCDC2083/2020,SouthKorea/KCDC2084/2020,SouthKorea/KCDC2197/2020,SouthKorea/KCDC2148/2020,SouthKorea/KCDC2132/2020,SouthKorea/KCDC2125/2020,SouthKorea/KCDC2194/2020,SouthKorea/KCDC2195/2020,SouthKorea/KCDC2196/2020,SouthKorea/KDCA0001/2020,SouthKorea/KDCA0003/2020,SouthKorea/KCDC2534/2020,SouthKorea/KCDC2710/2020,SouthKorea/KCDC2694/2020,SouthKorea/KCDC2186/2020,SouthKorea/KCDC2543/2020,SouthKorea/KCDC2544/2020,SouthKorea/KCDC2134/2020,SouthKorea/KCDC2133/2020,SouthKorea/KCDC2178/2020,SouthKorea/KCDC2558/2020,SouthKorea/KCDC2200/2020
Jeong-Min Kim et al B	1	Whole genome and phylogenetic analysis of two SARS-CoV-2 strains isolated in Italy in January and February 2020: additional clues on multiple introductions and further circulation in Europe	unknown	https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305	SouthKorea/KCDC05/2020
Monica Galiano et al	12	Preliminary analysis of SARS-CoV-2 importation & establishment of UK transmission lineages	unknown	https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507	England/01/2020,England/02/2020,England/200641094/2020,England/200690245/2020,England/200690300/2020,England/200690756/2020,England/200690306/2020,England/20102087902/2020,England/200990006/2020,England/200981386/2020,England/20109099106/2020,England/20099038206/2020
Mee et al	1	unknown	unknown	unknown	England/2/2020
Seo et al	1	unknown	unknown	unknown	SouthKorea/CNUHV03-CA22/2020
Jeong-Min Kim et al C	1	Identification of Coronavirus Isolated from a Patient in Korea with COVID-19	unknown	unknown	SouthKorea/KCDC03/2020
Rodpan et al	10	unknown	unknown	unknown	Thailand/SI202769-NT/2020,Thailand/SI202620-NT/2020,Thailand/SI202872-NT/2020,Thailand/SI202205-NT/2020,Thailand/SI200893-NT/2020,Thailand/SI200040-NT/2020,Thailand/SI200433-NT/2020,Thailand/SI204487-NT/2020,Thailand/SI201712-NT/2020,Thailand/SI204512-NT/2020
Kantima Sangsiriwut et al	1	unknown	unknown	unknown	Thailand/MUMT-3/2020
Pilailuk et al A	13	unknown	unknown	unknown	Thailand/Bangkok_1716/2020,Thailand/Bangkok_580/2020,Thailand/NIH-15/2020,Thailand/Nonthaburi_59/2020,Thailand/NIH-59/2020,Thailand/Nonthaburi_68/2020,Thailand/Phuket_247/2020,Thailand/NIH-162/2020,Thailand/Samutprakarn_840/2020,Thailand/Nonthaburi_2520/2020,Thailand/TNIC-1889/2020,Thailand/NIH-1889/2020,Thailand/Nonthaburi_3472/2020
Opass Putcharoen et al	4	unknown	unknown	unknown	Thailand/CU-SI2011649-NST/2020,Thailand/CU-SI2011588-NT/2020,Thailand/CU-SI2012575-NST/2020,Thailand/CU-SI2012946-NT/2020
Queen et al A	1	Isolation and characterization of SARS-CoV-2 from the first US COVID-19 patient	unknown	https://dx.doi.org/10.1101/2020.03.02.972935	USA/WA1/2020
Hidalgo-Miranda A et al	12	unknown	unknown	unknown	Mexico/CMX-INMEGEN-12/2020,Mexico/CMX-INMEGEN-11-05/2020,Mexico/CMX-INMEGEN-11-19/2020,Mexico/CMX-INMEGEN-12-03-09/2020,Mexico/CMX-INMEGEN-12-03-15/2020,Mexico/CMX-INMEGEN-12-04-11/2020,Mexico/CMX-INMEGEN-12-03-21/2020,Mexico/CMX-INMEGEN-03-04-12/2021,Mexico/CMX-INMEGEN-03-02-08/2021,Mexico/CMX-INMEGEN-02-07-15/2021,Mexico/CMX-INMEGEN-02-06-20/2021,Mexico/CMX-INMEGEN-12-04-12/2020
Prado-Vivar et al	1	unknown	unknown	unknown	Ecuador/USFQ-165/2020
Danilo Franco et al	32	Early transmission dynamics, spread, and genomic characterization of SARS-CoV-2 in Panama.	unknown	https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1	Panama/328941/2020,Panama/332252/2020,Panama/328710/2020,Panama/333271/2020,Panama/337660/2020,Panama/337467/2020,Panama/336491/2020,Panama/340836/2020,Panama/336418/2020,Panama/337442/2020,Panama/336897/2020,Panama/328709/2020,Panama/328723/2020,Panama/328719/2020,Panama/335013/2020,Panama/336567/2020,Panama/336377/2020,Panama/329377/2020,Panama/328927/2020,Panama/328677/2020,Panama/337640/2020,Panama/329117/2020,Panama/331837/2020,Panama/331578/2020,Panama/331580/2020,Panama/334036/2020,Panama/338657/2020,Panama/338674/2020,Panama/338687/2020,Panama/329198/2020,Panama/328844/2020,Panama/340837/2020
Le Quynh Mai et al	5	unknown	unknown	unknown	Vietnam/38238/2020,Vietnam/38142/2020,Vietnam/CM99/2020,Vietnam/CM296/2020,Vietnam/39607/2020
Ung Thi Hong Trang et al	1	unknown	unknown	unknown	Vietnam/VR03-38142/2020
Ying Tao et al A	11	unknown	unknown	unknown	Guatemala/CDC-1234/2020,USA/CA-CDC-2602/2020,USA/WI-CDC-0946/2020,Guatemala/CDC-1235/2020,Guatemala/CDC-1227/2020,Guatemala/CDC-1228/2020,Guatemala/CDC-1233/2020,Guatemala/CDC-1232/2020,Guatemala/CDC-1236/2020,Guatemala/CDC-1231/2020,Guatemala/CDC-1230/2020
Kuo-Chien Tsao et al A	19	unknown	unknown	unknown	Taiwan/CGMH-CGU-29/2020,Taiwan/CGMH-CGU-22/2020,Taiwan/CGMH-CGU-21/2020,Taiwan/CGMH-CGU-27/2020,Taiwan/CGMH-CGU-26/2020,Taiwan/CGMH-CGU-30/2020,Taiwan/CGMH-CGU-41/2020,Taiwan/CGMH-CGU-36/2020,Taiwan/CGMH-CGU-46/2021,Taiwan/CGMH-CGU-48/2021,Taiwan/CGMH-CGU-42/2020,Taiwan/CGMH-CGU-33/2020,Taiwan/CGMH-CGU-47/2021,Taiwan/CGMH-CGU-32/2020,Taiwan/CGMH-CGU-44/2020,Taiwan/CGMH-CGU-37/2020,Taiwan/CGMH-CGU-39/2020,Taiwan/CGMH-CGU-40/2020,Taiwan/CGMH-CGU-31/2020
Ying Tao et al B	3	First 12 patients with coronavirus disease 2019 (COVID-19) in the United States	unknown	https://dx.doi.org/10.1101/2020.03.09.20032896	USA/AZ1/2020,USA/CA-CDC-5/2020,USA/IL1/2020
Cao Minh Thắng et al	1	unknown	unknown	unknown	Vietnam/PIHCM-14/2020
Tsuyoshi Sekizuka et al C	2	Whole genome and phylogenetic analysis of two SARS-CoV-2 strains isolated in Italy in January and February 2020: additional clues on multiple introductions and further circulation in Europe	unknown	https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305	Japan/TY-WK-012/2020,Japan/OS-20-07-1/2020
Díaz Y et al	2	unknown	unknown	unknown	Panama/GMI-PA376271/2020,Panama/GMI-PA584303/2020
Francisco Duarte et al	93	unknown	unknown	unknown	CostaRica/INC-0246/2021,CostaRica/INC-0228/2021,CostaRica/INC-0252/2021,CostaRica/INC-0223/2021,CostaRica/INC-0218/2021,CostaRica/INC-0272/2021,CostaRica/INC-0278/2021,CostaRica/INC-0245/2021,CostaRica/INC-0295/2021,CostaRica/INC-0283/2021,CostaRica/INC-0284/2021,CostaRica/INC-0263/2021,CostaRica/INC-0255/2021,CostaRica/INC-0266/2021,CostaRica/INC-0085/2020,CostaRica/INC-0079/2020,CostaRica/INC-0096/2020,CostaRica/INC-0083/2020,CostaRica/INC-0135/2020,CostaRica/INC-0128/2020,CostaRica/INC-0133/2020,CostaRica/INC-0147/2020,CostaRica/INC-0123/2020,CostaRica/INC-0157/2020,CostaRica/INC-0139/2020,CostaRica/INC-0158/2020,CostaRica/INC-0167/2020,CostaRica/INC-0175/2020,CostaRica/INC-0048/2020,CostaRica/06/2020,CostaRica/INC-0052/2020,CostaRica/INC-0080/2020,CostaRica/INC-0142/2020,CostaRica/INC-0053/2020,CostaRica/INC-0064/2020,CostaRica/INC-0054/2020,CostaRica/INC-0055/2020,CostaRica/INC-0094/2020,CostaRica/INC-0275/2021,CostaRica/INC-0286/2021,CostaRica/INC-0073/2020,CostaRica/INC-0076/2020,CostaRica/INC-0075/2020,CostaRica/INC-0126/2020,CostaRica/INC-0125/2020,CostaRica/INC-0179/2020,CostaRica/INC-0141/2020,CostaRica/INC-0143/2020,CostaRica/INC-0186/2020,CostaRica/INC-0180/2020,CostaRica/INC-0172/2020,CostaRica/INC-0174/2020,CostaRica/INC-0170/2020,CostaRica/INC-0193/2020,CostaRica/INC-0169/2020,CostaRica/INC-0173/2020,CostaRica/INC-0177/2020,CostaRica/INC-0129/2020,CostaRica/INC-0130/2020,CostaRica/INC-0136/2020,CostaRica/INC-0204/2020,CostaRica/INC-0191/2020,CostaRica/INC-0162/2020,CostaRica/INC-0166/2020,CostaRica/INC-0150/2020,CostaRica/INC-0181/2020,CostaRica/INC-0159/2020,CostaRica/INC-0207/2020,CostaRica/INC-0200/2020,CostaRica/INC-0281/2021,CostaRica/INC-0189/2020,CostaRica/INC-0190/2020,CostaRica/INC-0202/2020,CostaRica/INC-0163/2020,CostaRica/INC-0146/2020,CostaRica/INC-0152/2020,CostaRica/INC-0153/2020,CostaRica/INC-0164/2020,CostaRica/INC-0144/2020,CostaRica/INC-0168/2020,CostaRica/INC-0211/2020,CostaRica/INC-0203/2020,CostaRica/INC-0185/2020,CostaRica/INC-0078/2020,CostaRica/INC-0056/2020,CostaRica/INC-0294/2021,CostaRica/INC-0067/2020,CostaRica/INC-0061/2020,CostaRica/INC-0060/2020,CostaRica/INC-0082/2020,CostaRica/INC-0069/2020,CostaRica/INC-0269/2021,CostaRica/INC-0234/2021
Sully Márquez et al	19	unknown	unknown	unknown	Ecuador/USFQ-556/2020,Ecuador/HEE-01/2020,Ecuador/USFQ-487/2020,Ecuador/USFQ-515/2020,Ecuador/USFQ-509/2020,Ecuador/USFQ-402/2020,Ecuador/USFQ-020/2020,Ecuador/USFQ-231/2020,Ecuador/USFQ-485/2020,Ecuador/USFQ-581/2021,Ecuador/USFQ-230/2020,Ecuador/USFQ-513/2020,Ecuador/USFQ-520/2020,Ecuador/USFQ-553/2020,Ecuador/USFQ-555/2020,Ecuador/USFQ-106/2020,Ecuador/USFQ-112/2020,Ecuador/USFQ-707/2020,Ecuador/USFQ-228/2020
Henry Lee et al	5	unknown	unknown	unknown	USA/NY-PRL-2021_03_03_00B02/2021,USA/NY-PRL-2021_03_03_00M22/2021,USA/NY-PRL-2021_03_03_00N19/2021,USA/NY-PRL-2021_03_05_00M19/2021,USA/NY-PRL-2021_03_05_00C12/2021
Jade Wang et al	9	unknown	unknown	unknown	USA/NY-NYCPHL-003667/2021,USA/NY-NYCPHL-003650/2021,USA/NY-NYCPHL-000993/2020,USA/NY-NYCPHL-001240/2020,USA/NY-NYCPHL-001469/2020,USA/NY-NYCPHL-001471/2020,USA/NY-NYCPHL-002536/2021,USA/NY-NYCPHL-001633/2020,USA/NY-NYCPHL-001039/2020
