Author	n (strains)	publication title	journal	publication URL	strains
Jeong-Min Kim et al A	33	unknown	unknown	unknown	SouthKorea/KCDC2061/2020,SouthKorea/KCDC2002/2020,SouthKorea/KCDC07/2020,SouthKorea/KCDC2062/2020,SouthKorea/KCDC06/2020,SouthKorea/KCDC2001/2020,SouthKorea/KCDC2007/2020,SouthKorea/KCDC12/2020,SouthKorea/KCDC2004/2020,SouthKorea/KCDC2005/2020,SouthKorea/KCDC2193/2020,SouthKorea/KCDC2090/2020,SouthKorea/KCDC2089/2020,SouthKorea/KCDC2055/2020,SouthKorea/KCDC2197/2020,SouthKorea/KCDC2534/2020,SouthKorea/KCDC2131/2020,SouthKorea/KDCA0003/2020,SouthKorea/KCDC2544/2020,SouthKorea/KCDC2194/2020,SouthKorea/KCDC2195/2020,SouthKorea/KCDC2125/2020,SouthKorea/KCDC2140/2020,SouthKorea/KCDC2139/2020,SouthKorea/KCDC2179/2020,SouthKorea/KCDC2196/2020,SouthKorea/KCDC2134/2020,SouthKorea/KCDC2133/2020,SouthKorea/KCDC2186/2020,SouthKorea/KCDC2558/2020,SouthKorea/KCDC2200/2020,SouthKorea/KCDC2178/2020,SouthKorea/KCDC2513/2020
Jeong-Min Kim et al B	1	Whole genome and phylogenetic analysis of two SARS-CoV-2 strains isolated in Italy in January and February 2020: additional clues on multiple introductions and further circulation in Europe	unknown	https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305	SouthKorea/KCDC05/2020
Jeong-Min Kim et al C	1	Identification of Coronavirus Isolated from a Patient in Korea with COVID-19	unknown	unknown	SouthKorea/KCDC03/2020
Changmin Kang et al	1	unknown	unknown	unknown	SouthKorea/KUMC04/2020
Le Quynh Mai et al	5	unknown	unknown	unknown	Vietnam/CM99/2020,Vietnam/38142/2020,Vietnam/38238/2020,Vietnam/CM296/2020,Vietnam/39730/2020
Ung Thi Hong Trang et al	1	unknown	unknown	unknown	Vietnam/VR03-38142/2020
Kuo-Chien Tsao et al A	19	unknown	unknown	unknown	Taiwan/CGMH-CGU-29/2020,Taiwan/CGMH-CGU-22/2020,Taiwan/CGMH-CGU-21/2020,Taiwan/CGMH-CGU-27/2020,Taiwan/CGMH-CGU-26/2020,Taiwan/CGMH-CGU-37/2020,Taiwan/CGMH-CGU-39/2020,Taiwan/CGMH-CGU-31/2020,Taiwan/CGMH-CGU-40/2020,Taiwan/CGMH-CGU-30/2020,Taiwan/CGMH-CGU-32/2020,Taiwan/CGMH-CGU-49/2021,Taiwan/CGMH-CGU-50/2021,Taiwan/CGMH-CGU-48/2021,Taiwan/CGMH-CGU-33/2020,Taiwan/CGMH-CGU-47/2021,Taiwan/CGMH-CGU-23/2020,Taiwan/CGMH-CGU-41/2020,Taiwan/CGMH-CGU-36/2020
Ying Tao et al A	11	unknown	unknown	unknown	Guatemala/CDC-1234/2020,USA/CA-CDC-2602/2020,USA/WI-CDC-0946/2020,Guatemala/CDC-1227/2020,Guatemala/CDC-1228/2020,Guatemala/CDC-1233/2020,Guatemala/CDC-1232/2020,Guatemala/CDC-1235/2020,Guatemala/CDC-1236/2020,Guatemala/CDC-1230/2020,Guatemala/CDC-1231/2020
Griselda De Marco et al A	1	Phylodynamics of SARS-CoV-2 transmission in Spain	unknown	https://dx.doi.org/10.1101/2020.04.20.050039	Spain/VC-FISABIO-6/2020
Danilo Franco et al	32	Early transmission dynamics, spread, and genomic characterization of SARS-CoV-2 in Panama.	unknown	https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1	Panama/328709/2020,Panama/328710/2020,Panama/333271/2020,Panama/337660/2020,Panama/337467/2020,Panama/337442/2020,Panama/336897/2020,Panama/328723/2020,Panama/328719/2020,Panama/336377/2020,Panama/328941/2020,Panama/332252/2020,Panama/328927/2020,Panama/340837/2020,Panama/329198/2020,Panama/328844/2020,Panama/335067/2020,Panama/338706/2020,Panama/329877/2020,Panama/338677/2020,Panama/339459/2020,Panama/331580/2020,Panama/331837/2020,Panama/331578/2020,Panama/338657/2020,Panama/338674/2020,Panama/338687/2020,Panama/328677/2020,Panama/329117/2020,Panama/337640/2020,Panama/336264/2020,Panama/334456/2020
Díaz Y et al	2	unknown	unknown	unknown	Panama/GMI-PA376271/2020,Panama/GMI-PA584303/2020
Francisco Duarte et al	93	unknown	unknown	unknown	CostaRica/INC-0246/2021,CostaRica/INC-0228/2021,CostaRica/INC-0252/2021,CostaRica/INC-0245/2021,CostaRica/INC-0223/2021,CostaRica/INC-0218/2021,CostaRica/INC-0272/2021,CostaRica/INC-0278/2021,CostaRica/INC-0295/2021,CostaRica/INC-0283/2021,CostaRica/INC-0284/2021,CostaRica/INC-0263/2021,CostaRica/INC-0255/2021,CostaRica/INC-0266/2021,CostaRica/INC-0078/2020,CostaRica/INC-0056/2020,CostaRica/INC-0294/2021,CostaRica/INC-0067/2020,CostaRica/INC-0061/2020,CostaRica/INC-0060/2020,CostaRica/INC-0082/2020,CostaRica/INC-0069/2020,CostaRica/INC-0073/2020,CostaRica/INC-0076/2020,CostaRica/INC-0075/2020,CostaRica/INC-0126/2020,CostaRica/INC-0125/2020,CostaRica/INC-0141/2020,CostaRica/INC-0143/2020,CostaRica/INC-0180/2020,CostaRica/INC-0172/2020,CostaRica/INC-0174/2020,CostaRica/INC-0170/2020,CostaRica/INC-0193/2020,CostaRica/INC-0169/2020,CostaRica/INC-0173/2020,CostaRica/INC-0177/2020,CostaRica/INC-0129/2020,CostaRica/INC-0130/2020,CostaRica/INC-0136/2020,CostaRica/INC-0199/2020,CostaRica/INC-0191/2020,CostaRica/INC-0162/2020,CostaRica/INC-0166/2020,CostaRica/INC-0181/2020,CostaRica/INC-0150/2020,CostaRica/INC-0159/2020,CostaRica/INC-0207/2020,CostaRica/INC-0200/2020,CostaRica/INC-0281/2021,CostaRica/INC-0189/2020,CostaRica/INC-0190/2020,CostaRica/INC-0202/2020,CostaRica/INC-0163/2020,CostaRica/INC-0164/2020,CostaRica/INC-0146/2020,CostaRica/INC-0152/2020,CostaRica/INC-0153/2020,CostaRica/INC-0144/2020,CostaRica/INC-0211/2020,CostaRica/INC-0168/2020,CostaRica/INC-0203/2020,CostaRica/INC-0185/2020,CostaRica/INC-0064/2020,CostaRica/INC-0094/2020,CostaRica/INC-0054/2020,CostaRica/INC-0055/2020,CostaRica/INC-0275/2021,CostaRica/INC-0286/2021,CostaRica/INC-0080/2020,CostaRica/INC-0142/2020,CostaRica/INC-0182/2020,CostaRica/INC-0247/2021,CostaRica/INC-0058/2020,CostaRica/INC-0085/2020,CostaRica/INC-0290/2021,CostaRica/06/2020,CostaRica/INC-0052/2020,CostaRica/INC-0048/2020,CostaRica/INC-0083/2020,CostaRica/INC-0097/2020,CostaRica/INC-0087/2020,CostaRica/INC-0133/2020,CostaRica/INC-0128/2020,CostaRica/INC-0135/2020,CostaRica/INC-0147/2020,CostaRica/INC-0123/2020,CostaRica/INC-0157/2020,CostaRica/INC-0139/2020,CostaRica/INC-0167/2020,CostaRica/INC-0175/2020,CostaRica/INC-0158/2020,CostaRica/INC-0184/2020
Sully Márquez et al	19	unknown	unknown	unknown	Ecuador/USFQ-556/2020,Ecuador/HEE-01/2020,Ecuador/USFQ-520/2020,Ecuador/USFQ-230/2020,Ecuador/USFQ-106/2020,Ecuador/USFQ-112/2020,Ecuador/USFQ-707/2020,Ecuador/USFQ-228/2020,Ecuador/USFQ-513/2020,Ecuador/USFQ-553/2020,Ecuador/USFQ-555/2020,Ecuador/USFQ-581/2021,Ecuador/USFQ-402/2020,Ecuador/USFQ-487/2020,Ecuador/USFQ-515/2020,Ecuador/USFQ-509/2020,Ecuador/USFQ-020/2020,Ecuador/USFQ-231/2020,Ecuador/USFQ-485/2020
Maria Dolores Ocete et al	1	Phylodynamics of SARS-CoV-2 transmission in Spain	unknown	https://dx.doi.org/10.1101/2020.04.20.050039	Spain/VC-FISABIO-5/2020
David Navarro et al	1	unknown	unknown	unknown	Spain/VC-FISABIO-54/2020
Giuseppe D'Auria et al	1	unknown	unknown	unknown	Spain/VC-FISABIO-23/2020
Silvia Hernáez Crespo et al	2	unknown	unknown	unknown	Spain/PV-IBV-000860/2020,Spain/PV-IBV-000692/2020
Maria Alma Bracho et al	1	unknown	unknown	unknown	Spain/VC-FISABIO-4/2020
Neris Garcia-Gonzalez et al	2	unknown	unknown	unknown	Spain/VC-FISABIO-266/2020,Spain/VC-FISABIO-25/2020
Abdaliyev Askar et al	11	unknown	unknown	unknown	Kazakhstan/7263/2020,Kazakhstan/7341/2020,Kazakhstan/16183/2020,Kazakhstan/17920/2020,Kazakhstan/18148/2020,Kazakhstan/18287/2020,Kazakhstan/22044/2020,Kazakhstan/22001/2020,Kazakhstan/38716/2020,Kazakhstan/33496/2020,Kazakhstan/22517/2020
Marine Murtskhvaladze et al	4	unknown	unknown	unknown	Georgia/Tb-390/2020,Georgia/Tb-1523/2020,Georgia/Tb-273/2020,Georgia/Tb-673/2020
Darío García de Viedma et al	23	unknown	unknown	unknown	Spain/MD-IBV-99012374/2020,Spain/MD-IBV-99008605/2020,Spain/MD-IBV-99009619/2020,Spain/MD-IBV-99009629/2020,Spain/MD-IBV-99009630/2020,Spain/MD-IBV-99008606/2020,Spain/MD-IBV-99008607/2020,Spain/MD-IBV-99008609/2020,Spain/MD-IBV-99008610/2020,Spain/MD-IBV-99008611/2020,Spain/MD-IBV-99008619/2020,Spain/MD-IBV-99008615/2020,Spain/MD-IBV-99012861/2020,Spain/MD-IBV-99012860/2020,Spain/MD-IBV-99012862/2020,Spain/MD-IBV-99012392/2020,Spain/MD-IBV-99007332/2020,Spain/MD-IBV-99012426/2020,Spain/MD-IBV-99008653/2020,Spain/MD-IBV-99012319/2020,Spain/MD-IBV-99012439/2020,Spain/MD-IBV-99009673/2020,Spain/MD-IBV-99012326/2020
Carlos Cortes et al	40	unknown	unknown	unknown	EquatorialGuinea/253/2020,EquatorialGuinea/10071/2020,EquatorialGuinea/3808/2020,EquatorialGuinea/5117/2020,EquatorialGuinea/49849/2020,EquatorialGuinea/2500/2020,EquatorialGuinea/33881/2020,EquatorialGuinea/46215/2020,EquatorialGuinea/14756/2020,EquatorialGuinea/31883/2020,EquatorialGuinea/11514/2020,EquatorialGuinea/6818/2020,EquatorialGuinea/50236/2020,EquatorialGuinea/47665/2020,EquatorialGuinea/16819/2020,EquatorialGuinea/28098/2020,EquatorialGuinea/37030/2020,EquatorialGuinea/11727/2020,EquatorialGuinea/9134/2020,EquatorialGuinea/10468/2020,EquatorialGuinea/11678/2020,EquatorialGuinea/5508/2020,EquatorialGuinea/25536/2020,EquatorialGuinea/40288/2020,EquatorialGuinea/22908/2020,EquatorialGuinea/14513/2020,EquatorialGuinea/16990/2020,EquatorialGuinea/19424/2020,EquatorialGuinea/28974/2020,EquatorialGuinea/46787/2020,EquatorialGuinea/3350/2020,EquatorialGuinea/3280/2020,EquatorialGuinea/29422/2020,EquatorialGuinea/32447/2020,EquatorialGuinea/35052/2020,EquatorialGuinea/8971/2020,EquatorialGuinea/2274/2020,EquatorialGuinea/26719/2020,EquatorialGuinea/2892/2020,EquatorialGuinea/4361/2020
Alexandr Shevtsov et al	7	unknown	unknown	unknown	Kazakhstan/NCB-5/2020,Kazakhstan/26827/2020,Kazakhstan/16173/2020,Kazakhstan/NCB-1/2020,Kazakhstan/NCB-3/2020,Kazakhstan/NCB-2/2020,Kazakhstan/21399/2020
Mohd Noor Mat Isa et al	22	unknown	unknown	unknown	Malaysia/MKAK-CL-2020-5096/2020,Malaysia/IMR_WC119/2020,Malaysia/MKAK-CL-2020-6430/2020,Malaysia/MKAK-CL-2020-5045/2020,Malaysia/MKAK-CL-2020-5047/2020,Malaysia/MKAK-CL-2020-5049/2020,Malaysia/IMR_WC1114/2020,Malaysia/MKAK-CL-2020-7554/2020,Malaysia/IMR_WC413/2020,Malaysia/IMR_WC458/2020,Malaysia/MGI-MAEPS126/2020,Malaysia/MGI-MAEPS41/2020,Malaysia/MGI-MAEPS67/2020,Malaysia/MGI-MAEPS54/2020,Malaysia/MGI-G873/2020,Malaysia/MGI-DNALAB13/2020,Malaysia/HPUPM_ML6117/2020,Malaysia/MGI-MGI43/2021,Malaysia/MGI-MGI52/2021,Malaysia/MGI_M0684/2020,Malaysia/HPUPM_ML6794/2020,Malaysia/HPUPM_ML5556/2020
Rodpan et al	8	unknown	unknown	unknown	Thailand/SI202620-NT/2020,Thailand/SI202769-NT/2020,Thailand/SI202872-NT/2020,Thailand/SI202205-NT/2020,Thailand/SI201712-NT/2020,Thailand/SI200893-NT/2020,Thailand/SI200040-NT/2020,Thailand/SI200433-NT/2020
Kantima Sangsiriwut et al	1	unknown	unknown	unknown	Thailand/MUMT-3/2020
Pilailuk et al A	13	unknown	unknown	unknown	Thailand/Bangkok_1716/2020,Thailand/Bangkok_580/2020,Thailand/Samutprakarn_840/2020,Thailand/NIH-162/2020,Thailand/NIH-15/2020,Thailand/Nonthaburi_59/2020,Thailand/Nonthaburi_68/2020,Thailand/NIH-59/2020,Thailand/Phuket_247/2020,Thailand/Nonthaburi_2520/2020,Thailand/TNIC-1889/2020,Thailand/NIH-1889/2020,Thailand/Nonthaburi_3472/2020
Opass Putcharoen et al	7	unknown	unknown	unknown	Thailand/CU-SI2011649-NST/2020,Thailand/CU-SI2011588-NT/2020,Thailand/CU-SI2012441-NT/2020,Thailand/CU-SI2012575-NST/2020,Thailand/CU-SI2013190-NT/2020,Thailand/CU-SI2012949-NT/2020,Thailand/CU-SI2012946-NT/2020
Queen et al A	1	Isolation and characterization of SARS-CoV-2 from the first US COVID-19 patient	unknown	https://dx.doi.org/10.1101/2020.03.02.972935	USA/WA1/2020
Hidalgo-Miranda A et al	13	unknown	unknown	unknown	Mexico/CMX-INMEGEN-12/2020,Mexico/CMX-INMEGEN-11-05/2020,Mexico/CMX-INMEGEN-11-19/2020,Mexico/CMX-INMEGEN-12-03-09/2020,Mexico/CMX-INMEGEN-12-03-21/2020,Mexico/CMX-INMEGEN-12-04-11/2020,Mexico/CMX-INMEGEN-03-04-12/2021,Mexico/CMX-INMEGEN-03-02-08/2021,Mexico/CMX-INMEGEN-02-07-15/2021,Mexico/CMX-INMEGEN-02-06-20/2021,Mexico/CMX-INMEGEN-12-04-12/2020,Mexico/CMX-INMEGEN-12-03-11/2020,Mexico/CMX-INMEGEN-01-02-23/2021
Prado-Vivar et al	1	unknown	unknown	unknown	Ecuador/USFQ-165/2020
Ying Tao et al B	3	First 12 patients with coronavirus disease 2019 (COVID-19) in the United States	unknown	https://dx.doi.org/10.1101/2020.03.09.20032896	USA/AZ1/2020,USA/IL1/2020,USA/CA-CDC-5/2020
Cao Minh Thắng et al	1	unknown	unknown	unknown	Vietnam/PIHCM-14/2020
Tsuyoshi Sekizuka et al A	2	Whole genome and phylogenetic analysis of two SARS-CoV-2 strains isolated in Italy in January and February 2020: additional clues on multiple introductions and further circulation in Europe	unknown	https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305	Japan/TY-WK-012/2020,Japan/OS-20-07-1/2020
Tsuyoshi Sekizuka et al B	121	unknown	unknown	unknown	Japan/TY-WK-521/2020,Japan/TY-WK-501/2020,Japan/KY-V-029/2020,Japan/AI-I-004/2020,Japan/IC-0007/2020,Japan/PG-1978/2020,Japan/NA-20-05-1/2020,Japan/PG-2848/2020,Japan/PG-1791/2020,Japan/PG-1917/2020,Japan/PG-8938/2020,Japan/IC-0127/2020,Japan/IC-0129/2020,Japan/IC-0674/2021,Japan/PG-6061/2020,Japan/IC-0725/2021,Japan/PG-1785/2020,Japan/PG-2038/2020,Japan/PG-2036/2020,Japan/PG-1799/2020,Japan/PG-2140/2020,Japan/IC-0122/2020,Japan/IC-0128/2020,Japan/IC-0126/2020,Japan/IC-0125/2020,Japan/IC-0069/2020,Japan/PG-3149/2020,Japan/IC-0108/2020,Japan/PG-2493/2020,Japan/IC-0225/2020,Japan/IC-0116/2020,Japan/IC-0792/2021,Japan/IC-0528/2020,Japan/IC-0840/2021,Japan/IC-0819/2021,Japan/PG-16448/2021,Japan/PG-17961/2021,Japan/PG-16446/2021,Japan/PG-17188/2021,Japan/IC-0836/2021,Japan/IC-0505/2020,Japan/IC-0478/2020,Japan/IC-0555/2020,Japan/IC-0780/2021,Japan/IC-0577/2021,Japan/IC-0689/2021,Japan/IC-0124/2020,Japan/IC-0123/2020,Japan/PG-2574/2020,Japan/IC-0094/2020,Japan/IC-0016/2020,Japan/PG-2527/2020,Japan/PG-1396/2020,Japan/PG-1394/2020,Japan/PG-1395/2020,Japan/PG-1397/2020,Japan/PG-10508/2020,Japan/IC-0014/2020,Japan/PG-1352/2020,Japan/IC-0064/2020,Japan/IC-0033/2020,Japan/IC-0168/2020,Japan/IC-0569/2020,Japan/IC-0293/2020,Japan/IC-0809/2021,Japan/IC-0415/2020,Japan/IC-0180/2020,Japan/IC-0045/2020,Japan/PG-1321/2020,Japan/PG-2714/2020,Japan/IC-0162/2020,Japan/PG-1310/2020,Japan/PG-2717/2020,Japan/IC-0458/2020,Japan/IC-0373/2020,Japan/IC-0711/2021,Japan/IC-0062/2020,Japan/IC-0245/2020,Japan/IC-0243/2020,Japan/IC-0158/2020,Japan/IC-0159/2020,Japan/IC-0246/2020,Japan/PG-14721/2020,Japan/IC-0092/2020,Japan/IC-0307/2020,Japan/IC-0794/2021,Japan/IC-0833/2021,Japan/IC-0796/2021,Japan/IC-0803/2021,Japan/IC-0786/2021,Japan/IC-0053/2020,Japan/IC-0237/2020,Japan/IC-0090/2020,Japan/IC-0289/2020,Japan/IC-0211/2020,Japan/IC-0194/2020,Japan/IC-0201/2020,Japan/IC-0334/2020,Japan/IC-0467/2020,Japan/IC-0806/2021,Japan/IC-0463/2020,Japan/IC-0185/2020,Japan/IC-0192/2020,Japan/IC-0262/2020,Japan/IC-0184/2020,Japan/IC-0065/2020,Japan/IC-0342/2020,Japan/IC-0580/2020,Japan/PG-9866/2020,Japan/IC-0252/2020,Japan/IC-0791/2021,Japan/IC-0459/2020,Japan/IC-0264/2020,Japan/IC-0103/2020,Japan/PG-11405/2020,Japan/PG-11410/2020,Japan/PG-12009/2020,Japan/PG-12970/2020,Japan/PG-12969/2020,Japan/PG-12242/2020,Japan/PG-12012/2020
Amirtharaj Francis et al	15	unknown	unknown	unknown	UnitedArabEmirates/skmc-920168117/2020,UnitedArabEmirates/skmc-920569110/2020,UnitedArabEmirates/skmc-920568379/2020,UnitedArabEmirates/skmc-0381517/2020,UnitedArabEmirates/skmc-004/2020,UnitedArabEmirates/skmc-008/2020,UnitedArabEmirates/skmc-006/2020,UnitedArabEmirates/skmc-009/2020,UnitedArabEmirates/skmc-001/2020,UnitedArabEmirates/skmc-0532497/2020,UnitedArabEmirates/skmc-205223/2020,UnitedArabEmirates/skmc-01319674/2020,UnitedArabEmirates/skmc-227217/2020,UnitedArabEmirates/skmc-3138700/2020,UnitedArabEmirates/skmc-3111627/2020
Ahmad Abou Tayoun et al A	11	Genomic surveillance and phylogenetic analysis reveal multiple introductions of SARS-CoV-2 into a global travel hub in the Middle East	unknown	https://dx.doi.org/10.1101/2020.05.06.080606	UnitedArabEmirates/L5630/2020,UnitedArabEmirates/L4280/2020,UnitedArabEmirates/L4184/2020,UnitedArabEmirates/L1014/2020,UnitedArabEmirates/L9766/2020,UnitedArabEmirates/L2409/2020,UnitedArabEmirates/L3779/2020,UnitedArabEmirates/L5621/2020,UnitedArabEmirates/L0881/2020,UnitedArabEmirates/L2185/2020,UnitedArabEmirates/L0484/2020
Ji-Rong Yang et al A	1	SARS-CoV-2 genomic surveillance in Taiwan revealed novel ORF8-deletion mutant and clade possibly associated with infections in Middle East	unknown	https://dx.doi.org/10.1080/22221751.2020.1782271	Taiwan/3/2020
Eden J-S et al	2	Revealing COVID-19 transmission in Australia by SARS-CoV-2 genome sequencing and agent-based modeling	unknown	https://www.nature.com/articles/s41591-020-1000-7	Australia/NSW01/2020,Australia/NSW03/2020
